title,author,length
1. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
2. Theo of Golden,By: Allen Levi,Length: 13 hrs and 12 mins
3. Dungeon Crawler Carl,By: Matt Dinniman,Length: 13 hrs and 31 mins
4. Yesteryear: A GMA Book Club Pick,By: Caro Claire Burke,Length: 13 hrs and 47 mins
5. The Correspondent,By: Virginia Evans,Length: 8 hrs and 36 mins
6. Famesick,By: Lena Dunham,Length: 11 hrs and 46 mins
7. Rites of the Starling,By: Devney Perry,Length: 17 hrs and 23 mins
8. Carl's Doomsday Scenario,By: Matt Dinniman,Length: 11 hrs and 28 mins
9. Strangers,By: Belle Burden,Length: 7 hrs and 3 mins
10. The Dungeon Anarchist's Cookbook,By: Matt Dinniman,Length: 16 hrs and 54 mins
11. My Husband's Wife,By: Alice Feeney,Length: 8 hrs and 58 mins
12. The Gate of the Feral Gods,By: Matt Dinniman,Length: 18 hrs and 3 mins
13. The Let Them Theory,By: Mel Robbins,Length: 10 hrs and 38 mins
14. A Parade of Horribles,By: Matt Dinniman,Length: Not Yet Known
15. Game On,By: Navessa Allen,Length: 12 hrs and 21 mins
16. This Inevitable Ruin,By: Matt Dinniman,Length: 28 hrs and 40 mins
17. The Butcher's Masquerade,By: Matt Dinniman,Length: 23 hrs and 33 mins
18. The Eye of the Bedlam Bride,By: Matt Dinniman,Length: 26 hrs and 46 mins
19. This Story Might Save Your Life,By: Tiffany Crum,Length: 10 hrs and 39 mins
20. Hope Rises,By: David Baldacci,Length: 12 hrs and 29 mins
21. Sunrise on the Reaping (The Hunger Games),By: Suzanne Collins,Length: 12 hrs and 48 mins
22. Little Ghosts,By: Gregg Dunnett,Length: 11 hrs and 55 mins
23. Dear Debbie,By: Freida McFadden,Length: 7 hrs and 40 mins
24. Start With Yourself,By: Emma Grede,Length: 9 hrs and 14 mins
25. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
26. Red Rising,By: Pierce Brown,Length: 16 hrs and 12 mins
27. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
28. Shield of Sparrows,By: Devney Perry,Length: 19 hrs and 51 mins
29. The Martian,By: Andy Weir,Length: 10 hrs and 59 mins
30. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
31. Artemis,By: Andy Weir,Length: 8 hrs and 57 mins
32. Stop Letting Everything Affect You,By: Daniel Chidiac,Length: 3 hrs and 44 mins
33. Drownproof,By: Andy Stumpf,Length: 6 hrs and 29 mins
34. The Last Letter,By: Rebecca Yarros,Length: 13 hrs and 23 mins
35. The Faith of Beasts,By: James S. A. Corey,Length: 14 hrs and 28 mins
36. Quicksilver,By: Callie Hart,Length: 20 hrs and 41 mins
37. 48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
38. The Widow,By: John Grisham,Length: 14 hrs and 23 mins
39. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
40. Reminders of Him,By: Colleen Hoover,Length: 10 hrs and 17 mins
41. Fourth Wing,By: Rebecca Yarros,Length: 22 hrs and 2 mins
42. The Dog Stars,By: Peter Heller,Length: 10 hrs and 41 mins
43. It's Not Her,By: Mary Kubica,Length: 11 hrs and 2 mins
44. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
45. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
46. London Falling,By: Patrick Radden Keefe,Length: 12 hrs and 59 mins
47. Golden Son,By: Pierce Brown,Length: 19 hrs and 3 mins
48. Brimstone,By: Callie Hart,Length: 24 hrs and 30 mins
49. Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
50. Tower of Dawn,By: Sarah J. Maas,Length: 22 hrs and 39 mins
51. Atmosphere: A GMA Book Club Pick,By: Taylor Jenkins Reid,Length: 9 hrs and 52 mins
52. Into the Blue: Reese's Book Club,By: Emma Brodie,Length: 15 hrs and 9 mins
53. The Keeper,By: Tana French,Length: 19 hrs and 45 mins
54. Drowning in Paper Flowers,By: E.L. Westbury,Length: 10 hrs and 17 mins
55. Go Gentle: Oprah's Book Club,By: Maria Semple,Length: 9 hrs and 1 min
56. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
57. Wild Dark Shore,By: Charlotte McConaghy,Length: 9 hrs and 58 mins
58. Operation Bounce House,By: Matt Dinniman,Length: 10 hrs and 48 mins
59. Twisted Pawn,By: L. J. Shen,Length: 14 hrs and 46 mins
60. The Body Keeps the Score,By: Bessel van der Kolk M.D.,Length: 16 hrs and 15 mins
61. Revenge Prey,By: John Sandford,Length: 10 hrs and 36 mins
62. Onyx Storm,By: Rebecca Yarros,Length: 23 hrs and 52 mins
63. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
64. The Path of Ascension 11,By: C. Mantis,Length: 23 hrs and 6 mins
65. The Things We Do for Love,By: Kristin Hannah,Length: 13 hrs
66. Alchemised,By: SenLinYu,Length: 36 hrs and 14 mins
67. The Tenant,By: Freida McFadden,Length: 8 hrs and 50 mins
68. Phases,By: Brandy,Length: 12 hrs and 7 mins
69. My Friends,By: Fredrik Backman,Length: 13 hrs and 22 mins
70. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
71. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
72. Stripped Down,By: Bunnie Xo,Length: 8 hrs and 25 mins
73. The Meaning of Your Life,By: Arthur C. Brooks,Length: 6 hrs and 40 mins
74. Kin: Oprah's Book Club,By: Tayari Jones,Length: 13 hrs and 10 mins
75. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
76. A World Appears,By: Michael Pollan,Length: 8 hrs and 46 mins
77. The Housemaid Is Watching,By: Freida McFadden,Length: 11 hrs and 42 mins
78. Morning Star,By: Pierce Brown,Length: 21 hrs and 50 mins
79. Eldritch,By: Keri Lake,Length: 22 hrs and 5 mins
80. The Hunger Games,By: Suzanne Collins,Length: 10 hrs and 35 mins
81. We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins
82. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
83. What to Make of a Life,By: Jim Collins,Length: 13 hrs and 31 mins
84. Gone Before Goodbye,"By: Harlan Coben, Reese Witherspoon",Length: 10 hrs and 34 mins
85. The Intruder,By: Freida McFadden,Length: 8 hrs and 19 mins
86. Anathema,By: Keri Lake,Length: 20 hrs and 14 mins
87. House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
88. The Frozen River,By: Ariel Lawhon,Length: 15 hrs and 5 mins
89. Big Girl Blitz,By: Danielle Allen,Length: 16 hrs and 31 mins
90. The Final Empire,By: Brandon Sanderson,Length: 24 hrs and 39 mins
91. Starside,By: Alex Aster,Length: 20 hrs and 2 mins
92. The Lion Women of Tehran,By: Marjan Kamali,Length: 10 hrs and 29 mins
93. The Will of the Many,By: James Islington,Length: 28 hrs and 14 mins
94. Anatomy of an Alibi,By: Ashley Elston,Length: 9 hrs and 39 mins
95. The Strength of the Few,By: James Islington,Length: 31 hrs and 10 mins
96. Nobody Knows You're Here,By: Bryn Greenwood,Length: 12 hrs and 16 mins
"97. 1% Lifesteal, Volume 4",By: Robert Blaise,Length: 17 hrs and 55 mins
98. The Anxious Generation,By: Jonathan Haidt,Length: 10 hrs and 32 mins
99. Margo's Got Money Troubles,By: Rufi Thorpe,Length: 10 hrs and 21 mins
100. A Court of Thorns and Roses (10th Anniversary Recording),By: Sarah J. Maas,Length: 14 hrs and 4 mins
