title,author,length
1. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
2. Theo of Golden,By: Allen Levi,Length: 13 hrs and 12 mins
3. Dungeon Crawler Carl,By: Matt Dinniman,Length: 13 hrs and 31 mins
4. Yesteryear: A GMA Book Club Pick,By: Caro Claire Burke,Length: 13 hrs and 47 mins
5. The Correspondent,By: Virginia Evans,Length: 8 hrs and 36 mins
6. Famesick,By: Lena Dunham,Length: 11 hrs and 46 mins
7. Rites of the Starling,By: Devney Perry,Length: 17 hrs and 23 mins
8. Carl's Doomsday Scenario,By: Matt Dinniman,Length: 11 hrs and 28 mins
9. Strangers,By: Belle Burden,Length: 7 hrs and 3 mins
10. The Dungeon Anarchist's Cookbook,By: Matt Dinniman,Length: 16 hrs and 54 mins
11. My Husband's Wife,By: Alice Feeney,Length: 8 hrs and 58 mins
12. The Gate of the Feral Gods,By: Matt Dinniman,Length: 18 hrs and 3 mins
13. The Let Them Theory,By: Mel Robbins,Length: 10 hrs and 38 mins
14. A Parade of Horribles,By: Matt Dinniman,Length: Not Yet Known
15. Game On,By: Navessa Allen,Length: 12 hrs and 21 mins
16. This Inevitable Ruin,By: Matt Dinniman,Length: 28 hrs and 40 mins
17. The Butcher's Masquerade,By: Matt Dinniman,Length: 23 hrs and 33 mins
18. The Eye of the Bedlam Bride,By: Matt Dinniman,Length: 26 hrs and 46 mins
19. This Story Might Save Your Life,By: Tiffany Crum,Length: 10 hrs and 39 mins
20. Hope Rises,By: David Baldacci,Length: 12 hrs and 29 mins
