name,timi,deviation
NANO Nuclear Energy,"4.564,63€","-8,08%"
Cigna Group,"2.964,35€","+6,89%"
PEDEVCO,"1.484,86€","+12,35%"
EPAM Systems,"1.399,18€","-20,14%"
Chevron,"1.380,83€","+18,99%"
iShares Physical Gold,"1.325,63€","-4,02%"
Weatherford International,"830,18€","+72,67%"
Immersion,"811,79€","-13,59%"
Century Communities,"789,18€","-12,19%"
Hyster-Yale,"756,47€","-24,55%"
Bank of America,"748,03€","+15,70%"
OptimumBank,"685,40€","+31,98%"
iShares Dow Jones Industrial Average (Acc),"643,13€","+6,28%"
Corp America Airports,"603,17€","+17,30%"
Vanguard S&P 500 (Dist),"593,95€","+11,80%"
iShares Core S&P 500 (Acc),"572,88€","+15,88%"
Comfort Systems USA,"542,41€","+263,13%"
California Resources,"421,33€",
On,"404,23€","-37,27%"
SPDR S&P U.S. Industrials Select Sector (Acc),"366,85€","+10,33%"
Carpenter Technology,"366,73€","+98,06%"
StealthGas,"356,15€","+56,89%"
Celsius,"350,94€","-7,51%"
Globus Medical,"320,19€","-15,61%"
Genco Shipping & Trading,"305,38€","+33,55%"
MercadoLibre,"281,48€","-25,82%"
Veralto,"280,57€","-27,95%"
Nextpower,"265,60€","+229,69%"
SFL,"239,53€","+4,30%"
Meta Platforms,"232,98€","+8,11%"
Progressive,"187,50€","-32,72%"
Excelerate Energy,"162,28€","+4,85%"
iShares S&P 500 Industrials Sector (Acc),"144,54€","+10,62%"
CMB Tech,"140,00€","+22,99%"
Kosmos Energy,"85,68€","-32,02%"
Tesla,"73,85€","+47,91%"
