onoma,timi,vathmos,sxolia,proino
Sky line center city F,€ 41,"6,9",τίποτα,χωρίς ένδειξη
193 Urban Patras,€ 42,"6,7",τίποτα,χωρίς ένδειξη
Jimmy's Apartments,€ 45,"9,1",Εξαιρετικό,χωρίς ένδειξη
Mini House,€ 45,"5,9",τίποτα,χωρίς ένδειξη
Apartment in the Center of Aigio F,€ 46,"7,8",Καλό,χωρίς ένδειξη
Lemonies,€ 47,"8,4",Πολύ καλό,χωρίς ένδειξη
Κτήμα ΓΟΥΡΔΟΎΠΗ Georgιο,€ 47,"6,6",τίποτα,χωρίς ένδειξη
Studios Αποστόλης Selianitika,€ 47,"9,0",Εξαιρετικό,χωρίς ένδειξη
Luxury House Diakopto,€ 47,τίποτα,τίποτα,χωρίς ένδειξη
ΔΩΜΑΤΙΟ ΜΕ ησυχία και θέα,€ 47,"9,0",Εξαιρετικό,χωρίς ένδειξη
Sainis Rooms,€ 48,"8,4",Πολύ καλό,χωρίς ένδειξη
Private Αpartment Agiou Athanasiou Street F,€ 49,"8,2",Πολύ καλό,χωρίς ένδειξη
Eagle's Nest City Apartments,€ 50,"9,7",τίποτα,χωρίς ένδειξη
Mema's Tranquil Studio in Patra - Free Parking,€ 50,"8,2",Πολύ καλό,χωρίς ένδειξη
LuxRoom,€ 52,"8,9",Θαυμάσιο,χωρίς ένδειξη
Sellas Retreat,€ 52,"9,3",Εξαιρετικό,χωρίς ένδειξη
Dimitropoulos Seafront Apartments-Elaionas Beach near Diakopto,€ 52,"8,9",Θαυμάσιο,χωρίς ένδειξη
Paris house 4,€ 52,"8,3",Πολύ καλό,χωρίς ένδειξη
Roksana,€ 52,"5,7",τίποτα,χωρίς ένδειξη
Hydra apartment,€ 54,"8,5",Πολύ καλό,χωρίς ένδειξη
Pietra Mare Suites,€ 55,"6,4",τίποτα,χωρίς ένδειξη
Holiday and Business Home,€ 56,"9,6",τίποτα,χωρίς ένδειξη
Arpa Studio Άνω Πόλη Πάτρας,€ 56,"9,2",Εξαιρετικό,χωρίς ένδειξη
Telis Hotel,€ 56,"7,5",Καλό,με πρωινό
West Garden At Aigio By Greece Apartments,€ 56,"9,1",Εξαιρετικό,χωρίς ένδειξη
Tzovolos Apartments,€ 57,"8,8",Θαυμάσιο,χωρίς ένδειξη
Sweet Home,€ 57,"9,4",Εξαιρετικό,χωρίς ένδειξη
Katerina's house,€ 57,"9,6",τίποτα,χωρίς ένδειξη
Ιlias rooms,€ 57,"8,0",Πολύ καλό,χωρίς ένδειξη
Sea View Nest,€ 58,"9,7",τίποτα,χωρίς ένδειξη
Vacations in Patra Rooms,€ 58,"7,3",Καλό,χωρίς ένδειξη
Centre & coffee,€ 59,"9,7",τίποτα,χωρίς ένδειξη
Zoufi Cozy Living,€ 59,"9,1",Εξαιρετικό,χωρίς ένδειξη
Patras Ressort,€ 60,"7,9",Καλό,χωρίς ένδειξη
Artemis Apartments,€ 60,"9,4",Εξαιρετικό,χωρίς ένδειξη
Sensus Loft,€ 60,"9,5",τίποτα,χωρίς ένδειξη
El Greco,€ 60,"8,3",Πολύ καλό,χωρίς ένδειξη
Vacations in Patra Studios,€ 60,"9,0",Εξαιρετικό,χωρίς ένδειξη
CS apartment Patra,€ 61,τίποτα,τίποτα,χωρίς ένδειξη
CENTRO PATRAS,€ 61,"8,9",Θαυμάσιο,χωρίς ένδειξη
Studio Lemoni Peloponnese,€ 62,τίποτα,τίποτα,χωρίς ένδειξη
Ξενοδοχείο Θεμιστώ,€ 62,"7,4",Καλό,με πρωινό
Δωμάτια Εξοχή-With fireplace and view to the sea,€ 62,"9,4",Εξαιρετικό,χωρίς ένδειξη
RYB Colour Apartment,€ 62,"8,5",Πολύ καλό,χωρίς ένδειξη
Vaso's nest at Patras Center,€ 62,"9,2",Εξαιρετικό,χωρίς ένδειξη
Alkyona,€ 62,τίποτα,τίποτα,χωρίς ένδειξη
Aγρόκτημα Φουρκή,€ 63,"9,1",Εξαιρετικό,χωρίς ένδειξη
B&G fourth floor,€ 63,"9,4",Εξαιρετικό,χωρίς ένδειξη
Maria's house,€ 63,"9,6",τίποτα,χωρίς ένδειξη
Zoufi's Studio in the Heart of the Old Town,€ 63,"9,1",Εξαιρετικό,χωρίς ένδειξη
